Mode,Smart Contract Compile Success,Smart Contract Compile Warning Count,Smart Contract Compile Error Count,Smart Contract Compile Error Types,Unit Test Compile Success,Unit Test Compile Warning Count,Unit Test Compile Error Count,Unit Test Compile Error Types,Scenario,Model
continue_cql_unit_test,True,0,0,{},True,0,0,{},scenario1,gpt-3.5-turbo
continue_n3_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario1,gpt-3.5-turbo
continue_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-3.5-turbo
use_original_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario1,gpt-3.5-turbo
use_previous_cql_unit_test,False,0,1,"{""ParserError"": 1}",False,0,2,"{""ParserError"": 2}",scenario1,gpt-3.5-turbo
use_previous_n3_unit_test,False,0,1,"{""TypeError"": 1}",False,0,1,"{""ParserError"": 1}",scenario1,gpt-3.5-turbo
use_previous_unit_test,True,1,0,{},False,1,1,"{""TypeError"": 1}",scenario1,gpt-3.5-turbo
continue_cql_unit_test,False,0,2,"{""TypeError"": 2}",False,0,3,"{""TypeError"": 3}",scenario2,gpt-3.5-turbo
continue_n3_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario2,gpt-3.5-turbo
continue_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario2,gpt-3.5-turbo
use_original_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario2,gpt-3.5-turbo
use_previous_cql_unit_test,False,0,1,"{""ParserError"": 1}",False,0,2,"{""ParserError"": 2}",scenario2,gpt-3.5-turbo
use_previous_n3_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario2,gpt-3.5-turbo
use_previous_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario2,gpt-3.5-turbo
continue_cql_unit_test,False,0,1,"{""TypeError"": 1}",False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo
continue_n3_unit_test,False,0,0,{},False,0,0,{},scenario3,gpt-3.5-turbo
continue_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario3,gpt-3.5-turbo
use_original_unit_test,True,3,0,{},False,0,1,"{""DeclarationError"": 1}",scenario3,gpt-3.5-turbo
use_previous_cql_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo
use_previous_n3_unit_test,False,0,1,"{""CompilerError"": 1}",False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo
use_previous_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo
continue_cql_unit_test,True,1,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-3.5-turbo-1106
continue_n3_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-3.5-turbo-1106
continue_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-3.5-turbo-1106
use_original_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-3.5-turbo-1106
use_previous_cql_unit_test,True,1,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-3.5-turbo-1106
use_previous_n3_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-3.5-turbo-1106
use_previous_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario1,gpt-3.5-turbo-1106
continue_cql_unit_test,True,0,0,{},False,0,4,"{""DeclarationError"": 4}",scenario2,gpt-3.5-turbo-1106
continue_n3_unit_test,True,1,0,{},False,1,1,"{""DeclarationError"": 1}",scenario2,gpt-3.5-turbo-1106
continue_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario2,gpt-3.5-turbo-1106
use_original_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario2,gpt-3.5-turbo-1106
use_previous_cql_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario2,gpt-3.5-turbo-1106
use_previous_n3_unit_test,True,0,0,{},False,0,1,"{""DeclarationError"": 1}",scenario2,gpt-3.5-turbo-1106
use_previous_unit_test,False,0,0,{},False,0,0,{},scenario2,gpt-3.5-turbo-1106
continue_cql_unit_test,False,0,1,"{""TypeError"": 1}",False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo-1106
continue_n3_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo-1106
continue_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo-1106
use_original_unit_test,True,0,0,{},False,0,1,"{""TypeError"": 1}",scenario3,gpt-3.5-turbo-1106
use_previous_cql_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo-1106
use_previous_n3_unit_test,False,0,0,{},False,0,0,{},scenario3,gpt-3.5-turbo-1106
use_previous_unit_test,True,0,0,{},False,0,1,"{""ParserError"": 1}",scenario3,gpt-3.5-turbo-1106
