Model,Scenario,Mode,Compile Success,Warnings,CompilerError,DeclarationError,Error,ParserError,TypeError,Total
codellama,scenario1,continue_cql,True,1,0,0,0,0,0,0
codellama,scenario1,continue_cql_unit_test,True,1,0,0,0,0,0,0
codellama,scenario1,continue_n3,False,1,0,1,0,0,0,1
codellama,scenario1,continue_n3_unit_test,True,0,0,0,0,0,0,0
codellama,scenario1,continue_unit_test,True,1,0,0,0,0,0,0
codellama,scenario1,use_original_cql,True,0,0,0,0,0,0,0
codellama,scenario1,use_original_n3,False,0,0,0,0,0,0,0
codellama,scenario1,use_original_unit_test,False,0,0,0,0,0,0,0
codellama,scenario1,use_previous_n3,False,0,0,0,0,0,9,9
codellama,scenario1,use_previous_n3_unit_test,False,0,0,0,0,0,1,1
codellama,scenario1,use_previous_unit_test,True,7,0,0,0,0,0,0
codellama,scenario2,continue_cql,True,1,0,0,0,0,0,0
codellama,scenario2,continue_cql_unit_test,True,1,0,0,0,0,0,0
codellama,scenario2,continue_n3,True,1,0,0,0,0,0,0
codellama,scenario2,continue_n3_unit_test,False,1,0,1,0,0,3,4
codellama,scenario2,use_original_cql,True,0,0,0,0,0,0,0
codellama,scenario2,use_original_n3,False,0,0,0,0,0,0,0
codellama,scenario2,use_original_unit_test,True,0,0,0,0,0,0,0
codellama,scenario2,use_previous_n3,False,0,0,0,0,0,2,2
codellama,scenario2,use_previous_n3_unit_test,False,0,0,0,0,0,2,2
codellama,scenario2,use_previous_unit_test,False,0,0,0,0,0,2,2
codellama,scenario3,continue_cql,False,1,0,0,0,0,1,1
codellama,scenario3,continue_cql_unit_test,False,5,0,0,0,0,4,4
codellama,scenario3,continue_n3,True,1,0,0,0,0,0,0
codellama,scenario3,continue_n3_unit_test,False,1,0,0,0,0,1,1
codellama,scenario3,continue_unit_test,False,1,0,0,0,0,7,7
codellama,scenario3,use_original_cql,False,0,0,0,0,0,1,1
codellama,scenario3,use_original_n3,False,0,0,0,0,0,1,1
codellama,scenario3,use_original_unit_test,False,0,0,0,0,0,1,1
codellama,scenario3,use_previous_cql,False,1,0,0,0,0,3,3
codellama,scenario3,use_previous_cql_unit_test,False,0,0,0,0,0,2,2
codellama,scenario3,use_previous_n3,False,16,0,0,0,0,1,1
codellama,scenario3,use_previous_n3_unit_test,False,0,0,0,0,0,1,1
codellama,scenario3,use_previous_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,continue_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,continue_cql_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,continue_n3,False,0,0,0,0,0,2,2
gpt-3.5-turbo,scenario1,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,continue_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,use_original_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,use_original_n3,False,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,use_original_unit_test,False,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,use_previous_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,use_previous_cql_unit_test,False,0,0,0,0,1,0,1
gpt-3.5-turbo,scenario1,use_previous_n3,True,1,0,0,0,0,0,0
gpt-3.5-turbo,scenario1,use_previous_n3_unit_test,False,0,0,0,0,0,1,1
gpt-3.5-turbo,scenario1,use_previous_unit_test,True,1,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,continue_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,continue_cql_unit_test,False,0,0,0,0,0,2,2
gpt-3.5-turbo,scenario2,continue_n3,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,continue_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,use_original_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,use_original_n3,False,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,use_previous_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,use_previous_cql_unit_test,False,0,0,0,0,1,0,1
gpt-3.5-turbo,scenario2,use_previous_n3,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario2,use_previous_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario3,continue_cql,False,0,1,0,0,0,0,1
gpt-3.5-turbo,scenario3,continue_cql_unit_test,False,0,0,0,0,0,1,1
gpt-3.5-turbo,scenario3,continue_n3,False,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario3,continue_n3_unit_test,False,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario3,continue_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario3,use_original_cql,False,0,0,0,0,1,0,1
gpt-3.5-turbo,scenario3,use_original_n3,False,0,0,0,0,1,0,1
gpt-3.5-turbo,scenario3,use_original_unit_test,True,3,0,0,0,0,0,0
gpt-3.5-turbo,scenario3,use_previous_cql,False,0,1,0,0,0,0,1
gpt-3.5-turbo,scenario3,use_previous_cql_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo,scenario3,use_previous_n3,False,0,1,0,0,0,0,1
gpt-3.5-turbo,scenario3,use_previous_n3_unit_test,False,0,1,0,0,0,0,1
gpt-3.5-turbo,scenario3,use_previous_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,continue_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,continue_cql_unit_test,True,1,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,continue_n3,True,1,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,continue_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,use_original_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,use_original_n3,False,0,0,1,0,0,0,1
gpt-3.5-turbo-1106,scenario1,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,use_previous_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,use_previous_cql_unit_test,True,1,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,use_previous_n3,True,1,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario1,use_previous_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,continue_cql,True,1,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,continue_cql_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,continue_n3,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,continue_n3_unit_test,True,1,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,continue_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,use_original_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,use_original_n3,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,use_previous_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,use_previous_cql_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,use_previous_n3,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario2,use_previous_unit_test,False,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,continue_cql,True,4,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,continue_cql_unit_test,False,0,0,0,0,0,1,1
gpt-3.5-turbo-1106,scenario3,continue_n3,False,0,0,0,0,0,1,1
gpt-3.5-turbo-1106,scenario3,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,continue_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,use_original_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,use_original_n3,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,use_previous_cql,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,use_previous_cql_unit_test,True,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,use_previous_n3,False,0,0,0,0,0,1,1
gpt-3.5-turbo-1106,scenario3,use_previous_n3_unit_test,False,0,0,0,0,0,0,0
gpt-3.5-turbo-1106,scenario3,use_previous_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario1,continue_cql,True,0,0,0,0,0,0,0
gpt-4,scenario1,continue_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario1,continue_n3,True,0,0,0,0,0,0,0
gpt-4,scenario1,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario1,continue_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario1,use_original_cql,True,0,0,0,0,0,0,0
gpt-4,scenario1,use_original_n3,True,0,0,0,0,0,0,0
gpt-4,scenario1,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario1,use_previous_cql,True,0,0,0,0,0,0,0
gpt-4,scenario1,use_previous_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario1,use_previous_n3,True,0,0,0,0,0,0,0
gpt-4,scenario1,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario1,use_previous_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario2,continue_cql,True,0,0,0,0,0,0,0
gpt-4,scenario2,continue_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario2,continue_n3,True,0,0,0,0,0,0,0
gpt-4,scenario2,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario2,continue_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario2,use_original_cql,True,0,0,0,0,0,0,0
gpt-4,scenario2,use_original_n3,True,0,0,0,0,0,0,0
gpt-4,scenario2,use_original_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario2,use_previous_cql,True,0,0,0,0,0,0,0
gpt-4,scenario2,use_previous_cql_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario2,use_previous_n3,True,0,0,0,0,0,0,0
gpt-4,scenario2,use_previous_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario2,use_previous_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario3,continue_cql,True,0,0,0,0,0,0,0
gpt-4,scenario3,continue_cql_unit_test,False,0,0,1,0,0,0,1
gpt-4,scenario3,continue_n3,False,0,1,0,0,0,0,1
gpt-4,scenario3,continue_n3_unit_test,True,0,0,0,0,0,0,0
gpt-4,scenario3,continue_unit_test,False,0,0,0,0,1,0,1
gpt-4,scenario3,use_original_cql,True,0,0,0,0,0,0,0
