```
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .
@prefix : <http://example.com/medicare#> .

:Medicare rdf:type owl:Class .
:TransplantDrugTherapy rdf:type owl:Class .
:ImmunosuppressiveDrug rdf:type owl:Class .
:PartA rdf:type owl:Class .
:PartB rdf:type owl:Class .
:MedicareDrugCoverage rdf:type owl:Class .
:OriginalMedicare rdf:type owl:Class .
:EndStageRenalDisease rdf:type owl:Class .
:KidneyTransplant rdf:type owl:Class .
:OtherHealthCoverage rdf:type owl:Class .
:GroupHealthPlan rdf:type owl:Class .
:TRICARE rdf:type owl:Class .
:Medicaid rdf:type owl:Class .
:Benefit rdf:type owl:Class .
:FullHealthCoverage rdf:type owl:Class .
:Qualify rdf:type owl:Class .

:coveredBy rdf:type owl:ObjectProperty .
:helpedPayFor rdf:type owl:ObjectProperty .
:haveAt rdf:type owl:DatatypeProperty .
:joinToGet rdf:type owl:ObjectProperty .
:loseAfter rdf:type owl:ObjectProperty .
:isNotSubstituteFor rdf:type owl:DatatypeProperty .
:signUp rdf:type owl:ObjectProperty .
:pay rdf:type owl:ObjectProperty .
:met rdf:type owl:ObjectProperty .
:approved rdf:type owl:DatatypeProperty .
:pays rdf:type owl:DatatypeProperty .
:hasPremium rdf:type owl:DatatypeProperty .
:hasDeductible rdf:type owl:DatatypeProperty .

:TransplantDrugTherapy rdfs:subClassOf :Medicare .
:ImmunosuppressiveDrug rdfs:subClassOf :Medicare .
:PartA rdfs:subClassOf :Medicare .
:PartB rdfs:subClassOf :Medicare .
:MedicareDrugCoverage rdfs:subClassOf :Medicare .
:OriginalMedicare rdfs:subClassOf :Medicare .
:EndStageRenalDisease rdfs:subClassOf :Medicare .
:KidneyTransplant rdfs:subClassOf :Medicare .
:OtherHealthCoverage rdfs:subClassOf :Medicare .
:GroupHealthPlan rdfs:subClassOf :Medicare .
:TRICARE rdfs:subClassOf :Medicare .
:Medicaid rdfs:subClassOf :Medicare .
:Benefit rdfs:subClassOf :Medicare .
:FullHealthCoverage rdfs:subClassOf :Medicare .
:Qualify rdfs:subClassOf :Medicare .

:TransplantDrugTherapy :coveredBy :Medicare .
:ImmunosuppressiveDrug :coveredBy :Medicare .
:PartA :haveAt :TimeOf .
:PartB :haveAt :TimeOf .
:MedicareDrugCoverage :coveredBy :Medicare .
:OriginalMedicare :joinToGet :MedicareDrugCoverage .
:EndStageRenalDisease :coveredBy :Medicare .
:KidneyTransplant :helpedPayFor :Medicare .
:OtherHealthCoverage :coveredBy :Medicare .
:GroupHealthPlan :coveredBy :OtherHealthCoverage .
:TRICARE :coveredBy :OtherHealthCoverage .
:Medicaid :coveredBy :OtherHealthCoverage .
:Benefit :isNotSubstituteFor :FullHealthCoverage .
:Qualify :signUp :Benefit .

:TimeOf rdfs:domain :PartA .
:TimeOf rdfs:domain :PartB .
:TimeOf rdfs:range xsd:dateTime .
:TimeOf rdfs:subClassOf xsd:nonNegativeInteger .

:MedicareDrugCoverage rdfs:domain :OriginalMedicare .
:MedicareDrugCoverage rdfs:range :MedicareDrugCoverage .
:OriginalMedicare rdfs:subClassOf :JoinToGet .
:OriginalMedicare rdfs:subClassOf :PartA .

:KidneyTransplant rdfs:domain :KidneyTransplant .

:JoinToGet rdfs:domain :OriginalMedicare .
:JoinToGet rdfs:range :MedicareDrugCoverage .

:PartA rdfs:domain :TimeOf .
:PartB rdfs:domain :TimeOf .

:PartA :haveAt :Transplant .
:PartB :haveAt :ImmunosuppressiveDrug .

:Transplant rdfs:subClassOf :CoveredTransplant .
:ImmunosuppressiveDrug rdfs:subClassOf :CoveredTransplant .

:ImmunosuppressiveDrug rdf:type :PartB .

:OriginalMedicare :haveAt :EndStageRenalDisease .

:EndDate rdfs:domain :EndStageRenalDisease .
:EndDate rdfs:range xsd:dateTime .

:EndDate :loseAfter :KidneyTransplant .

:KidneyTransplant :helpedPayFor :Medicare .
:KidneyTransplant :loseAfter :EndDate .

:FullHealthCoverage :coveredBy :Benefit .

:Qualify :joinToGet :Benefit .

:PartACoverageEnds rdfs:domain :KidneyTransplant .
:PartACoverageEnds rdfs:domain :FullHealthCoverage .
:PartACoverageEnds rdfs:range xsd:dateTime .

:PartACoverageEnds :signUp :Qualify .

:PhoneNumber rdf:type owl:DatatypeProperty .

:SignUp rdfs:domain :PartACoverageEnds .
:SignUp rdfs:range :PhoneNumber .

:CallToSignUp rdf:type owl:Class .

:CallToSignUp rdf:type owl:Class .

:SocialSecurityPhoneNumber rdf:type owl:DatatypeProperty .

:CallToSignUp :callAt :SocialSecurityPhoneNumber .

:CallToSignUp rdf:type :SignUp .

:Medicare rdf:type :CallToSignUp .

:ImmunoSuppDrugCost rdfs:domain :TimeOf .
:ImmunoSuppDrugCost rdfs:range xsd:float .

:ImmunoSuppDrugCost :pay :premium .
:ImmunoSuppDrugCost :pay :deductible .

:ImmunosuppressiveDrugCost rdfs:domain :ImmunoSuppDrugCost .
:ImmunosuppressiveDrugCost rdfs:range :ImmunosuppressiveDrug .

:premium rdf:type :hasPremium .
:premium rdfs:domain :ImmunoSuppDrugCost .
:premium rdfs:range xsd:float .

:deductible rdf:type :hasDeductible .
:deductible rdfs:domain :ImmunoSuppDrugCost .
:deductible rdfs:range xsd:float .

:pay rdf:type :pays .
:pay rdfs:domain :ImmunosuppressiveDrugCost .
:pay rdfs:range xsd:float .

:MedicareApprovedCost rdf:type owl:DatatypeProperty .

:pay rdf:type :pays .
:pay rdfs:domain :ImmunosuppressiveDrugCost .
:pay rdfs:range :MedicareApprovedCost .

:pay rdf:type :pays .
:pay rdfs:domain :ImmunosuppressiveDrugCost .
:pay rdfs:range xsd:float .

:MedicareApprovedCost rdf:type :approved .
:MedicareApprovedCost rdfs:domain :ImmunosuppressiveDrugCost .
:MedicareApprovedCost rdfs:range xsd:float .

:ImmunosuppressiveDrugCost :met :deductible .

:TwentyPercentCost rdf:type :pays .
:TwentyPercentCost rdfs:domain :ImmunosuppressiveDrugCost .
:TwentyPercentCost rdfs:range xsd:float .

:TwentyPercentCost :pay :MedicareApprovedCost .

```
